Country,fleet,subfleet,species,N,mean.q,sd,se,upper,lower
non-UK,Beam,BEAM,COD,11,6.36E-11,3.84E-11,1.16E-11,8.62E-11,4.09E-11
non-UK,Beam,BEAM,HAD,11,4.76E-13,1.04E-12,3.14E-13,1.09E-12,-1.39E-13
non-UK,Beam,BEAM,HER,11,9.90E-13,1.74E-12,5.24E-13,2.02E-12,-3.77E-14
non-UK,Beam,BEAM,JAX,11,3.66E-13,5.04E-13,1.52E-13,6.64E-13,6.83E-14
non-UK,Beam,BEAM,MAC,11,3.57E-14,4.33E-14,1.30E-14,6.13E-14,1.02E-14
non-UK,Beam,BEAM,NOP,11,8.88E-14,2.49E-13,7.50E-14,2.36E-13,-5.83E-14
non-UK,Beam,BEAM,PLE,11,1.50E-10,4.13E-10,1.24E-10,3.94E-10,-9.42E-11
non-UK,Beam,BEAM,POK,11,2.20E-13,7.27E-13,2.19E-13,6.49E-13,-2.10E-13
non-UK,Beam,BEAM,SAN,11,1.18E-11,3.49E-11,1.05E-11,3.24E-11,-8.86E-12
non-UK,Beam,BEAM,SOL,11,2.20E-09,6.70E-09,2.02E-09,6.16E-09,-1.76E-09
non-UK,Beam,BEAM,SPR,11,6.75E-11,1.61E-10,4.84E-11,1.62E-10,-2.75E-11
non-UK,Beam,BEAM,WHG,11,7.72E-11,1.63E-10,4.92E-11,1.74E-10,-1.91E-11
non-UK,Beam,BT1,COD,11,5.15E-09,2.63E-09,7.93E-10,6.71E-09,3.60E-09
non-UK,Beam,BT1,HAD,11,1.97E-10,9.60E-11,2.90E-11,2.54E-10,1.41E-10
non-UK,Beam,BT1,HER,11,1.17E-17,3.88E-17,1.17E-17,3.47E-17,-1.12E-17
non-UK,Beam,BT1,JAX,11,0,0,0,0,0
non-UK,Beam,BT1,PLE,11,4.65E-09,6.49E-10,1.96E-10,5.03E-09,4.27E-09
non-UK,Beam,BT1,POK,11,6.97E-12,4.14E-12,1.25E-12,9.42E-12,4.53E-12
non-UK,Beam,BT1,SOL,11,3.75E-10,1.44E-10,4.35E-11,4.60E-10,2.90E-10
non-UK,Beam,BT1,WHG,11,6.00E-11,1.77E-10,5.33E-11,1.64E-10,-4.44E-11
non-UK,Beam,BT2,COD,11,9.68E-10,4.97E-10,1.50E-10,1.26E-09,6.74E-10
non-UK,Beam,BT2,HAD,11,5.22E-12,4.32E-12,1.30E-12,7.77E-12,2.67E-12
non-UK,Beam,BT2,HER,11,4.53E-16,9.72E-16,2.93E-16,1.03E-15,-1.22E-16
non-UK,Beam,BT2,JAX,11,6.61E-13,1.08E-12,3.27E-13,1.30E-12,2.06E-14
non-UK,Beam,BT2,MAC,11,2.31E-14,3.80E-14,1.15E-14,4.55E-14,6.39E-16
non-UK,Beam,BT2,NOP,11,0,0,0,0,0
non-UK,Beam,BT2,PLE,11,4.01E-09,7.32E-10,2.21E-10,4.44E-09,3.58E-09
non-UK,Beam,BT2,POK,11,1.57E-14,2.08E-14,6.27E-15,2.80E-14,3.42E-15
non-UK,Beam,BT2,SOL,11,1.02E-08,7.40E-10,2.23E-10,1.06E-08,9.72E-09
non-UK,Beam,BT2,SPR,11,1.31E-14,4.32E-14,1.30E-14,3.86E-14,-1.24E-14
non-UK,Beam,BT2,WHG,11,6.43E-10,4.71E-10,1.42E-10,9.21E-10,3.64E-10
non-UK,Industrial,OTTER,COD,11,1.67E-10,1.54E-10,4.65E-11,2.58E-10,7.58E-11
non-UK,Industrial,OTTER,HAD,11,8.61E-12,9.89E-12,2.98E-12,1.45E-11,2.77E-12
non-UK,Industrial,OTTER,HER,11,1.21E-09,9.33E-10,2.81E-10,1.76E-09,6.62E-10
non-UK,Industrial,OTTER,JAX,11,3.48E-11,6.99E-11,2.11E-11,7.61E-11,-6.51E-12
non-UK,Industrial,OTTER,MAC,11,3.50E-10,6.66E-10,2.01E-10,7.43E-10,-4.35E-11
non-UK,Industrial,OTTER,NOP,11,2.25E-10,3.17E-10,9.56E-11,4.12E-10,3.77E-11
non-UK,Industrial,OTTER,PLE,11,3.48E-11,4.63E-11,1.40E-11,6.21E-11,7.39E-12
non-UK,Industrial,OTTER,POK,11,7.62E-11,5.27E-11,1.59E-11,1.07E-10,4.51E-11
non-UK,Industrial,OTTER,SAN,11,1.19E-07,5.17E-08,1.56E-08,1.50E-07,8.85E-08
non-UK,Industrial,OTTER,SOL,11,1.69E-11,5.54E-11,1.67E-11,4.96E-11,-1.58E-11
non-UK,Industrial,OTTER,SPR,11,4.47E-10,6.71E-10,2.02E-10,8.44E-10,5.10E-11
non-UK,Industrial,OTTER,WHG,11,4.63E-10,1.25E-09,3.78E-10,1.20E-09,-2.78E-10
non-UK,Industrial,TR3,COD,11,7.45E-11,7.10E-11,2.14E-11,1.16E-10,3.26E-11
