Gear,SPR,NOP,SAN,PCD,DAB,PLA,HER,HOR,SOL,LEM,MAC,WHT,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
EU-BEAM,0.02,0.00,0.01,0.09,2.73,2.73,0.00,0.02,5.10,2.73,0.00,0.21,2.73,0.09,0.36,2.73,0.00,2.73,0.09,0.07,0.00
EU-BT1,0.00,0.00,0.00,2.30,6.08,6.08,0.00,0.00,0.87,6.08,0.00,0.16,6.08,2.30,11.29,6.08,0.98,6.08,2.30,5.76,0.05
EU-BT2,0.00,0.00,0.00,0.94,16.64,16.64,0.00,0.04,23.55,16.64,0.00,1.72,16.64,0.94,9.73,16.64,0.03,16.64,0.94,1.08,0.00
EU-IOTT,0.15,0.38,86.72,0.49,0.06,0.06,5.92,2.36,0.04,0.06,1.94,1.24,0.06,0.49,0.08,0.06,0.04,0.06,0.49,0.19,0.56
EU-TR3,72.34,94.84,1.64,0.30,0.02,0.02,1.06,0.31,0.01,0.02,0.04,0.73,0.02,0.30,0.04,0.02,0.08,0.02,0.30,0.08,0.46
EU-DREDGE,0.00,0.00,0.06,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.01,0.00,0.00,0.06
EU-NONE,2.15,1.78,2.77,0.45,0.95,0.95,4.69,0.01,0.33,0.95,0.56,0.07,0.95,0.45,1.57,0.95,0.21,0.95,0.45,1.07,0.66
EU-POTS,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.02,0.01,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.01,0.00,0.01,0.00
EU-TR1,0.02,0.11,0.06,6.15,2.85,2.85,0.00,13.88,0.07,2.85,0.62,0.72,2.85,6.15,5.63,2.85,6.17,2.85,6.15,11.56,71.47
EU-TR2,0.00,0.00,0.03,26.11,8.26,8.26,0.32,7.36,2.24,8.26,0.52,70.69,8.26,26.11,14.28,8.26,3.13,8.26,26.11,4.51,0.12
EU-PEL_SEINE,0.05,0.08,0.00,0.00,0.04,0.04,23.12,3.82,0.00,0.04,32.71,0.00,0.04,0.00,0.07,0.04,0.00,0.04,0.00,0.00,0.01
EU-PEL_TRAWL,21.79,2.81,3.11,0.09,0.00,0.00,28.25,55.34,0.00,0.00,9.75,0.17,0.00,0.09,0.00,0.00,0.04,0.00,0.09,0.07,0.09
EU-GN1,0.05,0.00,0.00,5.73,15.66,15.66,0.02,0.00,21.36,15.66,0.00,0.22,15.66,5.73,9.96,15.66,0.67,15.66,5.73,16.30,0.78
EU-GT1,0.00,0.00,0.00,1.07,20.71,20.71,0.00,0.00,32.98,20.71,0.00,0.15,20.71,1.07,8.44,20.71,0.05,20.71,1.07,3.02,0.23
EU-LL1,0.00,0.00,0.03,11.30,0.07,0.07,0.00,0.00,0.01,0.07,7.78,0.00,0.07,11.30,0.12,0.07,6.32,0.07,11.30,27.58,1.27
UK-BEAM,0.00,0.00,0.00,0.01,1.28,1.28,0.00,0.00,1.89,1.28,0.00,0.01,1.28,0.01,0.68,1.28,0.00,1.28,0.01,0.03,0.00
UK-BT1,0.00,0.00,0.00,0.23,7.25,7.25,0.00,0.00,0.62,7.25,0.00,0.05,7.25,0.23,13.88,7.25,0.09,7.25,0.23,0.56,0.01
UK-BT2,0.00,0.00,0.00,0.41,14.32,14.32,0.00,0.00,8.80,14.32,0.00,0.62,14.32,0.41,19.84,14.32,0.05,14.32,0.41,0.56,0.00
UK-IOTT,0.21,0.00,5.57,0.69,0.02,0.02,5.91,2.56,0.00,0.02,9.77,0.30,0.02,0.69,0.04,0.02,1.50,0.02,0.69,0.27,0.25
UK-TR3,2.64,0.00,0.00,0.94,0.14,0.14,0.00,0.00,0.00,0.14,0.00,0.67,0.14,0.94,0.28,0.14,1.49,0.14,0.94,0.65,0.04
UK-DREDGE,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.06,0.00,0.03,0.01,0.00
UK-NONE,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,0.00,0.00,0.07,0.00,0.07,0.12,0.03
UK-POTS,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.02,0.04,0.00
UK-TR1,0.00,0.00,0.00,29.26,1.02,1.02,0.00,0.04,0.03,1.02,0.07,12.38,1.02,29.26,2.02,1.02,60.51,1.02,29.26,14.90,22.45
UK-TR2,0.00,0.00,0.00,10.04,1.02,1.02,0.00,0.02,0.43,1.02,0.00,9.68,1.02,10.04,1.62,1.02,17.75,1.02,10.04,2.70,1.32
UK-PEL_TRAWL,0.58,0.01,0.00,0.00,0.00,0.00,30.70,14.24,0.00,0.00,36.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
UK-GN1,0.00,0.00,0.00,2.21,0.10,0.10,0.00,0.00,0.17,0.10,0.01,0.10,0.10,2.21,0.03,0.10,0.01,0.10,2.21,6.53,0.01
UK-GT1,0.00,0.00,0.00,0.40,0.76,0.76,0.00,0.00,1.47,0.76,0.00,0.05,0.76,0.40,0.04,0.76,0.00,0.76,0.40,1.16,0.00
UK-LL1,0.00,0.00,0.00,0.64,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.64,0.00,0.00,0.74,0.00,0.64,1.17,0.10
