Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOR,LEM,SOL,MAC,WHG,WIT,GUR,PLE,RJR,HAD,RJN,MON,COD,POK,nsfracuk,ukrestns
1903,12762.0,0.0,0.0,0.0,0.0,11797.0,499109.0,0.0,3598.0,2970.0,2265.0,18236.0,664.0,0.0,57481.0,0.0,178759.0,0.0,1067.0,73345.0,3454.0,0.772556467447044,0.7685110144356466
1904,11309.0,0.0,0.0,0.0,0.0,9511.0,556373.0,0.0,3633.0,3268.0,3355.0,21327.0,1991.0,370.0,58460.0,0.0,166391.0,0.0,1311.0,70554.0,3948.0,0.767195550585134,0.7796301802016627
1905,10165.0,0.0,0.0,0.0,46.0,7940.0,537886.0,0.0,3631.0,3765.0,7360.0,25531.0,2312.0,0.0,58487.0,0.0,137560.0,0.0,1751.0,70667.0,7764.0,0.7360666548877649,0.7601519975133851
1906,8930.0,0.0,0.0,0.0,43.0,7716.0,498254.0,0.0,3428.0,3149.0,4212.0,18957.0,1593.0,0.0,45220.0,0.0,174808.0,0.0,1775.0,107757.0,5086.0,0.7154142488891603,0.7480431334582981
1907,10867.0,0.0,0.0,0.0,20.0,7516.0,634507.0,0.0,2940.0,2963.0,6958.0,17759.0,1605.0,0.0,51992.0,0.0,183960.0,0.0,1665.0,70067.0,3808.0,0.6649412961803381,0.7655386883467272
1908,9022.0,0.0,0.0,0.0,82.0,7416.0,563390.0,0.0,3041.0,2703.0,7816.0,23219.0,2362.0,0.0,48483.0,0.0,160455.0,0.0,2031.0,78068.0,10229.0,0.6819083966109296,0.7474072988873554
1909,12167.0,0.0,0.0,0.0,79.0,7975.0,550885.0,0.0,3290.0,4016.0,12389.0,24276.0,2673.0,0.0,50955.0,0.0,137599.0,0.0,2215.0,95492.0,12044.0,0.6678933590595478,0.7002537212929841
1910,18657.0,0.0,0.0,0.0,113.0,7208.0,699127.0,0.0,3700.0,2016.0,17382.0,27990.0,1851.0,0.0,48184.0,0.0,123118.0,0.0,2047.0,94735.0,11648.0,0.6759523230881123,0.6401971517802011
1911,3586.0,0.0,0.0,0.0,110.0,5615.0,387013.0,0.0,1493.0,2190.0,5563.0,20808.0,1079.0,0.0,49430.0,0.0,90272.0,0.0,778.0,58863.0,3839.0,0.3773772217103892,0.603961141956167
1912,5522.0,0.0,0.0,0.0,125.0,6604.0,378762.0,0.0,1829.0,2551.0,7099.0,27876.0,1535.0,0.0,50360.0,0.0,88576.0,0.0,692.0,60690.0,4988.0,0.3959608596947653,0.6348793678586184
1913,3126.0,0.0,0.0,0.0,103.0,7259.0,514453.0,0.0,1726.0,2232.0,9710.0,23975.0,1485.0,0.0,48240.0,0.0,66822.0,0.0,680.0,58315.0,7424.0,0.4473398022375904,0.63333807554807
1914,3756.0,0.0,0.0,0.0,70.0,5908.0,180055.0,0.0,1314.0,2045.0,6311.0,21475.0,1021.0,0.0,40044.0,0.0,63760.0,0.0,564.0,51262.0,4649.0,0.27328115843785666,0.5554711687708027
1915,3692.0,0.0,0.0,0.0,1.0,4341.0,142237.0,0.0,620.0,768.0,6243.0,10840.0,146.0,0.0,26402.0,0.0,86175.0,0.0,231.0,43236.0,1960.0,0.37392472878651467,0.4013054043452888
1916,1411.0,0.0,0.0,0.0,0.0,4703.0,123427.0,0.0,627.0,700.0,6906.0,8577.0,281.0,0.0,23579.0,0.0,69450.0,0.0,211.0,27316.0,1779.0,0.2014859868813357,0.20668705652067532
1917,957.0,0.0,0.0,0.0,0.0,4891.0,57507.0,0.0,339.0,706.0,1407.0,5420.0,81.0,0.0,23585.0,0.0,51056.0,0.0,140.0,18979.0,1369.0,0.3139827959500174,0.43583284301463204
1918,778.0,0.0,0.0,0.0,0.0,5309.0,101670.0,0.0,208.0,972.0,1040.0,6914.0,20.0,0.0,38852.0,0.0,77961.0,0.0,83.0,26066.0,749.0,0.41727694534211923,0.38934269236119284
