Year,SPR,NOP,SAN,POD,PLA,DAB,HER,HOM,LEM,SOL,MAC,WHG,WIT,GUG,PLE,RJR,HAD,RJN,MON,COD,POK
1850,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1851,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1852,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1853,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1854,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1855,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1856,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1857,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1858,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1859,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1860,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1861,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1862,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1863,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1864,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1865,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1866,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1867,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1868,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
1869,0.112659034,0.055618242,0.063741723,0.037055805,0.032608599,0.033325459,0.02535573,0.003850763,0.024785215,0.051133351,0.015564244,0.061373459,0.033216949,0.036994706,0.06927376,0.033363071,0.11189109,0.032496136,0.037415903,0.033522252,0.039621619
